client1 ; {"x":359.94,"y":-2.31,"z":-3.44} ; 2024-12-18 15:38:46
client2 ; {"x":359.94,"y":0.31,"z":5.12} ; 2024-12-18 15:38:46
client1 ; {"x":359.94,"y":-2.31,"z":-3.44} ; 2024-12-18 15:38:48
client2 ; {"x":359.94,"y":0.31,"z":5.12} ; 2024-12-18 15:38:48
client1 ; {"x":359.94,"y":-2.31,"z":-3.44} ; 2024-12-18 15:38:51
client2 ; {"x":359.94,"y":0.31,"z":5.12} ; 2024-12-18 15:38:52
client1 ; {"x":359.94,"y":-2.31,"z":-3.44} ; 2024-12-18 15:38:53
client2 ; {"x":359.94,"y":0.31,"z":5.12} ; 2024-12-18 15:38:54
client1 ; {"x":359.94,"y":-2.31,"z":-3.44} ; 2024-12-18 15:38:56
client2 ; {"x":359.94,"y":0.31,"z":5.12} ; 2024-12-18 15:38:57
client1 ; {"x":359.94,"y":-2.31,"z":-3.44} ; 2024-12-18 15:38:58
client2 ; {"x":359.94,"y":0.31,"z":5.12} ; 2024-12-18 15:38:59
client1 ; {"x":359.94,"y":-2.31,"z":-3.44} ; 2024-12-18 15:39:01
client2 ; {"x":359.94,"y":0.31,"z":5.12} ; 2024-12-18 15:39:02
client1 ; {"x":359.94,"y":-2.31,"z":-3.44} ; 2024-12-18 15:39:03
client2 ; {"x":359.94,"y":0.31,"z":5.12} ; 2024-12-18 15:39:04
client1 ; {"x":359.94,"y":-2.31,"z":-3.44} ; 2024-12-18 15:39:07
client2 ; {"x":359.94,"y":0.31,"z":5.12} ; 2024-12-18 15:39:07
client1 ; {"x":359.94,"y":-2.31,"z":-3.44} ; 2024-12-18 15:39:09
client2 ; {"x":359.94,"y":0.31,"z":5.12} ; 2024-12-18 15:39:09
client2 ; {"x":358.75,"y":0.13,"z":4.62} ; 2024-12-18 15:39:12
client1 ; {"x":358.75,"y":-2.50,"z":-3.87} ; 2024-12-18 15:39:12
client2 ; {"x":315.94,"y":-1.00,"z":4.69} ; 2024-12-18 15:39:14
client1 ; {"x":316.50,"y":-4.00,"z":-4.06} ; 2024-12-18 15:39:14
client2 ; {"x":316.00,"y":-0.44,"z":5.19} ; 2024-12-18 15:39:17
client1 ; {"x":316.50,"y":-3.12,"z":-3.25} ; 2024-12-18 15:39:17
client2 ; {"x":316.00,"y":-0.44,"z":5.19} ; 2024-12-18 15:39:19
client1 ; {"x":313.75,"y":-2.44,"z":1.31} ; 2024-12-18 15:39:19
client2 ; {"x":312.50,"y":-0.88,"z":98.56} ; 2024-12-18 15:39:22
client1 ; {"x":316.31,"y":-2.25,"z":95.56} ; 2024-12-18 15:39:22
client2 ; {"x":332.56,"y":1.06,"z":4.81} ; 2024-12-18 15:39:24
client1 ; {"x":332.75,"y":-1.37,"z":-2.75} ; 2024-12-18 15:39:24
client2 ; {"x":324.12,"y":0.37,"z":5.00} ; 2024-12-18 15:39:27
client1 ; {"x":325.38,"y":-2.12,"z":-2.44} ; 2024-12-18 15:39:27
client2 ; {"x":324.12,"y":0.37,"z":5.00} ; 2024-12-18 15:39:29
client1 ; {"x":325.38,"y":-2.12,"z":-2.44} ; 2024-12-18 15:39:29
client2 ; {"x":324.12,"y":0.37,"z":5.00} ; 2024-12-18 15:39:32
client1 ; {"x":325.38,"y":-2.12,"z":-2.37} ; 2024-12-18 15:39:32
client2 ; {"x":324.12,"y":0.37,"z":5.00} ; 2024-12-18 15:39:34
client1 ; {"x":325.38,"y":-2.19,"z":-2.31} ; 2024-12-18 15:39:34
client2 ; {"x":324.12,"y":0.37,"z":5.00} ; 2024-12-18 15:39:37
client1 ; {"x":325.38,"y":-2.19,"z":-2.31} ; 2024-12-18 15:39:38
client2 ; {"x":324.12,"y":0.37,"z":5.00} ; 2024-12-18 15:39:39
client1 ; {"x":325.38,"y":-2.19,"z":-2.31} ; 2024-12-18 15:39:40
client2 ; {"x":324.12,"y":0.37,"z":5.00} ; 2024-12-18 15:39:42
client1 ; {"x":325.38,"y":-2.19,"z":-2.31} ; 2024-12-18 15:39:43
client2 ; {"x":324.12,"y":0.37,"z":5.00} ; 2024-12-18 15:39:44
client1 ; {"x":325.38,"y":-2.19,"z":-2.31} ; 2024-12-18 15:39:45
